media_id,bone_canonical,category,is_target,is_partial,selected_for_download,title,part_raw,side,media_type,modality,species,physical_object_id,physical_object_title,sex,visibility,license,rights_statement,ip_holder,use_agreement_type,permits_commercial_use,permits_3d_use,file_size_all,date_uploaded,creator,website_url,thumbnail_url,external_media_url,doi,ark,download_status,local_path,downloaded_at
000048475,,endocast,False,False,False,Dh3 Endocast Closed [Mesh] [Etc],DH3 Endocast Closed,,Mesh,LaserScan,Homo naledi,000S12152,wits:dinaledi:DH3_Endocast,,open,,,,Standard,CommercialUseNotPermitted,3DPrintingLimited,17935950,2018-05-14T14:03:14Z,,https://www.morphosource.org/concern/media/000048475,https://www.morphosource.org/downloads/000242687?file=thumbnail&t=1603763642,,,ark:/87602/m4/M48475,,,
000048476,,endocast,False,False,False,Dh3 Endocast Original [Mesh] [Etc],DH3 Endocast Original,,Mesh,LaserScan,Homo naledi,000S12152,wits:dinaledi:DH3_Endocast,,open,,,,Standard,CommercialUseNotPermitted,3DPrintingLimited,17016310,2018-05-14T14:03:18Z,,https://www.morphosource.org/concern/media/000048476,https://www.morphosource.org/downloads/000242686?file=thumbnail&t=1603763642,,,ark:/87602/m4/M48476,,,
000048478,,endocast,False,False,False,Dh2 Endocast Closed [Mesh] [Etc],DH2 Endocast Closed,,Mesh,LaserScan,Homo naledi,000S12153,wits:dinaledi:DH2_Endocast,,open,,,,Standard,CommercialUseNotPermitted,3DPrintingLimited,26277856,2018-05-14T14:17:58Z,,https://www.morphosource.org/concern/media/000048478,https://www.morphosource.org/downloads/000242689?file=thumbnail&t=1603763642,,,ark:/87602/m4/M48478,,,
000048486,,endocast,False,False,False,Dh4 Endocast [Mesh] [Etc],DH4 Endocast,,Mesh,LaserScan,Homo naledi,000S12156,wits:dinaledi:DH4_Endocast,,open,,,,Standard,CommercialUseNotPermitted,3DPrintingLimited,11606822,2018-05-14T14:56:58Z,,https://www.morphosource.org/concern/media/000048486,https://www.morphosource.org/downloads/000242695?file=thumbnail&t=1603763648,,,ark:/87602/m4/M48486,,,
000048487,,endocast,False,False,False,Dh5 Endocast [Mesh] [Etc],DH5 Endocast,,Mesh,LaserScan,Homo naledi,000S12157,wits:dinaledi:DH5_Endocast,,open,,,,Standard,CommercialUseNotPermitted,3DPrintingLimited,3814964,2018-05-14T15:03:21Z,,https://www.morphosource.org/concern/media/000048487,https://www.morphosource.org/downloads/000242696?file=thumbnail&t=1603763649,,,ark:/87602/m4/M48487,,,
000048488,,endocast,False,False,False,U.W.101 200 Endocast [Mesh] [Etc],U.W.101-200 Endocast,,Mesh,LaserScan,Homo naledi,000S12158,wits:dinaledi:101-200,,open,,,,Standard,CommercialUseNotPermitted,3DPrintingLimited,2927517,2018-05-14T15:13:19Z,,https://www.morphosource.org/concern/media/000048488,https://www.morphosource.org/downloads/000242697?file=thumbnail&t=1603763656,,,ark:/87602/m4/M48488,,,
000006484,,other,False,False,False,Ilium Fragment [Mesh] [Etc],ilium fragment,Right,Mesh,LaserScan,Homo naledi,0000S2109,wits:dinaledi:101-1100,,open,,,,Standard,CommercialUseNotPermitted,3DPrintingLimited,234920166,2015-09-05T17:10:19Z,,https://www.morphosource.org/concern/media/000006484,https://www.morphosource.org/downloads/000206097?file=thumbnail&t=1603144745,,,ark:/87602/m4/M6484,,,
000006489,,other,False,False,False,Ilium Fragment [Image] [Etc],ilium fragment,Right,Image,Photography,Homo naledi,0000S2109,wits:dinaledi:101-1100,,open,,,,Standard,CommercialUseNotPermitted,3DPrintingLimited,186293,2015-09-07T18:12:55Z,,https://www.morphosource.org/concern/media/000006489,https://www.morphosource.org/downloads/000206101?file=thumbnail&t=1603144756,,,ark:/87602/m4/M6489,,,
000006490,,other,False,False,False,Medial Cuneiform [Mesh] [Etc],Medial Cuneiform,Left,Mesh,LaserScan,Homo naledi,0000S2113,wits:dinaledi:101-1535,,open,,,,Standard,CommercialUseNotPermitted,3DPrintingLimited,4887233,2015-09-08T17:28:44Z,,https://www.morphosource.org/concern/media/000006490,https://www.morphosource.org/downloads/000206102?file=thumbnail&t=1603144757,,,ark:/87602/m4/M6490,,,
000006491,,other,False,False,False,Metacarpal 3 [Mesh] [Etc],Metacarpal 3,Left,Mesh,LaserScan,Homo naledi,0000S2115,wits:dinaledi:101-033,,open,,,,Standard,CommercialUseNotPermitted,3DPrintingLimited,1125648,2015-09-08T21:10:20Z,,https://www.morphosource.org/concern/media/000006491,https://www.morphosource.org/downloads/000206103?file=thumbnail&t=1603144757,,,ark:/87602/m4/M6491,,,
000006492,,other,False,False,False,Lunate [Mesh] [Etc],lunate,Left,Mesh,LaserScan,Homo naledi,0000S2116,wits:dinaledi:101-418b,,open,,,,Standard,CommercialUseNotPermitted,3DPrintingLimited,742869,2015-09-08T21:18:35Z,,https://www.morphosource.org/concern/media/000006492,https://www.morphosource.org/downloads/000206105?file=thumbnail&t=1603144757,,,ark:/87602/m4/M6492,,,
000006493,,other,False,False,False,Manual Ip4 [Mesh] [Etc],manual IP4,Right,Mesh,LaserScan,Homo naledi,0000S2117,wits:dinaledi:101-1308,,open,,,,Standard,CommercialUseNotPermitted,3DPrintingLimited,1150739,2015-09-08T21:22:09Z,,https://www.morphosource.org/concern/media/000006493,https://www.morphosource.org/downloads/000206104?file=thumbnail&t=1603144757,,,ark:/87602/m4/M6493,,,
000006494,,other,False,False,False,Metacarpal 5 [Mesh] [Etc],metacarpal 5,Right,Mesh,LaserScan,Homo naledi,0000S2118,wits:dinaledi:101-1309,,open,,,,Standard,CommercialUseNotPermitted,3DPrintingLimited,1506893,2015-09-08T21:24:47Z,,https://www.morphosource.org/concern/media/000006494,https://www.morphosource.org/downloads/000206106?file=thumbnail&t=1603144758,,,ark:/87602/m4/M6494,,,
000006495,,other,False,False,False,Manual Ip3 [Mesh] [Etc],manual IP3,Right,Mesh,LaserScan,Homo naledi,0000S2119,wits:dinaledi:101-1310,,open,,,,Standard,CommercialUseNotPermitted,3DPrintingLimited,850561,2015-09-08T21:29:25Z,,https://www.morphosource.org/concern/media/000006495,https://www.morphosource.org/downloads/000206107?file=thumbnail&t=1603144758,,,ark:/87602/m4/M6495,,,
