media_id,bone_canonical,category,is_target,is_partial,selected_for_download,title,part_raw,side,media_type,modality,species,physical_object_id,physical_object_title,sex,visibility,license,rights_statement,ip_holder,use_agreement_type,permits_commercial_use,permits_3d_use,file_size_all,date_uploaded,creator,website_url,thumbnail_url,external_media_url,doi,ark,download_status,local_path,downloaded_at
000114435,,other,False,False,False,Hand [Mesh] [Etc],Hand,Right,Mesh,StructuredLight,Homo sapiens,000S30569,iphes:-:55F17,,open,,,,Standard,CommercialUseNotPermitted,3DPrintingLimited,951028,2020-04-15T07:05:52Z,,https://www.morphosource.org/concern/media/000114435,https://www.morphosource.org/downloads/000300192?file=thumbnail&t=1604143248,,,ark:/87602/m4/M114435,,,
000154307,,other,False,False,False,M Pp3 [Mesh] [Laser],mPP3,Right,Mesh,LaserScan,Homo sapiens,000S14875,usnm:anthropology-tc:437R,,open,,http://rightsstatements.org/vocab/InC/1.0/,Biren Patel,Standard,CommercialUseNotPermitted,3DPrintingLimited,6334483,2020-08-05T21:35:08Z,,https://www.morphosource.org/concern/media/000154307,https://www.morphosource.org/downloads/000322121?file=thumbnail&t=1615508782,,,ark:/87602/m4/M154307,,,
000359364,,other,False,False,False,Head Ct [CTImageSeries] [CT],head CT,,Volumetric Image Series,MicroNanoXRayComputedTomography,Homo sapiens,000359361,nlm:NLM:2,,open,,http://rightsstatements.org/vocab/InC/1.0/,National Library of Medicine (Copyright and License),Standard,CommercialUsePermitted,3DPrintingLimited,155663274,2021-04-21T17:51:06Z,,https://www.morphosource.org/concern/media/000359364,https://www.morphosource.org/assets/work-ff055336041c3f7d310ad69109eda4a887b16ec501f35afc0a547c4adb97ee72.png,,,ark:/87602/m4/359364,,,
000359368,,other,False,False,False,Head Mri Pd [CTImageSeries] [MRI],head MRI PD,,Volumetric Image Series,MagneticResonanceImaging,Homo sapiens,000359361,nlm:NLM:2,,open,,http://rightsstatements.org/vocab/InC/1.0/,National Library of Medicine (Copyright and License),Standard,CommercialUsePermitted,3DPrintingLimited,4666555,2021-04-21T18:06:02Z,,https://www.morphosource.org/concern/media/000359368,https://www.morphosource.org/assets/work-ff055336041c3f7d310ad69109eda4a887b16ec501f35afc0a547c4adb97ee72.png,ftp://lhcftp.nlm.nih.gov/Open-Access-Datasets/Visible-Human/Male-Images/Visible%20Human%202.0%20-%20Peter%20Ratiu/Seriel%20Head/MR_CT_DICOM/MRI/,,ark:/87602/m4/359368,,,
000365455,,other,False,False,False,Head Mri T2 512 [CTImageSeries] [MRI],head MRI T2 512,,Volumetric Image Series,MagneticResonanceImaging,Homo sapiens,000365452,nlm:NLM:2,,open,,,,Standard,CommercialUseNotPermitted,3DPrintingLimited,145923759,2021-05-31T19:54:55Z,,https://www.morphosource.org/concern/media/000365455,https://www.morphosource.org/assets/work-ff055336041c3f7d310ad69109eda4a887b16ec501f35afc0a547c4adb97ee72.png,,,ark:/87602/m4/365455,,,
000365481,,other,False,False,False,Head Mri T1 [CTImageSeries] [MRI],head MRI T1,,Volumetric Image Series,MagneticResonanceImaging,Homo sapiens,000359361,nlm:NLM:2,,open,,,,Standard,CommercialUseNotPermitted,3DPrintingLimited,82552474,2021-05-31T20:44:25Z,,https://www.morphosource.org/concern/media/000365481,https://www.morphosource.org/assets/work-ff055336041c3f7d310ad69109eda4a887b16ec501f35afc0a547c4adb97ee72.png,,,ark:/87602/m4/365481,,,
000367537,,other,False,False,False,Head Mri Pd [CTImageSeries] [MRI],head MRI PD,,Volumetric Image Series,MagneticResonanceImaging,Homo sapiens,000367535,nlm:virtual_human_2,,open,,,National Library of Medicine,Standard,CommercialUseNotPermitted,3DPrintingLimited,82948010,2021-06-11T17:58:48Z,Dr. Peter Raitu,https://www.morphosource.org/concern/media/000367537,https://www.morphosource.org/downloads/000367537?file=thumbnail&t=1623434328,,,ark:/87602/m4/367537,,,
000367566,,other,False,False,False,Head Mri T1 [CTImageSeries] [MRI],head MRI T1,,Volumetric Image Series,MagneticResonanceImaging,Homo sapiens,000367535,nlm:virtual_human_2,,open,,,National Library of Medicine,Standard,CommercialUseNotPermitted,3DPrintingLimited,87956166,2021-06-11T19:15:52Z,Dr. Peter Raitu,https://www.morphosource.org/concern/media/000367566,https://www.morphosource.org/downloads/000367566?file=thumbnail&t=1623438952,ftp://lhcftp.nlm.nih.gov/Open-Access-Datasets/Visible-Human/Male-Images/Visible%20Human%202.0%20-%20Peter%20Ratiu/Seriel%20Head/MR_CT_DICOM/MRI/,,ark:/87602/m4/367566,,,
000367569,,other,False,False,False,Head Mri T2 512 [CTImageSeries] [MRI],head MRI T2 512,,Volumetric Image Series,MagneticResonanceImaging,Homo sapiens,000367535,nlm:virtual_human_2,,open,,,National Library of Medicine,Standard,CommercialUseNotPermitted,3DPrintingLimited,202849487,2021-06-11T19:22:57Z,Dr. Peter Raitu,https://www.morphosource.org/concern/media/000367569,https://www.morphosource.org/downloads/000367569?file=thumbnail&t=1623439377,,,ark:/87602/m4/367569,,,
000367572,,other,False,False,False,Head Ct [CTImageSeries] [CT],head CT,,Volumetric Image Series,MicroNanoXRayComputedTomography,Homo sapiens,000367535,nlm:virtual_human_2,,open,,,,Standard,CommercialUseNotPermitted,3DPrintingLimited,201045758,2021-06-11T19:32:40Z,Dr. Peter Raitu,https://www.morphosource.org/concern/media/000367572,https://www.morphosource.org/downloads/000367572?file=thumbnail&t=1623439960,,,ark:/87602/m4/367572,,,
