media_id,bone_canonical,category,is_target,is_partial,selected_for_download,title,part_raw,side,media_type,modality,species,physical_object_id,physical_object_title,sex,visibility,license,rights_statement,ip_holder,use_agreement_type,permits_commercial_use,permits_3d_use,file_size_all,date_uploaded,creator,website_url,thumbnail_url,external_media_url,doi,ark,download_status,local_path,downloaded_at
000346137,cranium,target_bone,True,True,False,Calvarium [Mesh] [CT],Calvarium,NotApplicable,Mesh,MicroNanoXRayComputedTomography,Homo neanderthalensis,000346134,ulg:pa:Engis2,,open,,http://rightsstatements.org/vocab/InC-NC/1.0/,,Standard,CommercialUseNotPermitted,3DPrintingPermitted,22172262,2021-02-23T14:35:56Z,,https://www.morphosource.org/concern/media/000346137,https://www.morphosource.org/downloads/000346137?file=thumbnail&t=1620725244,,,ark:/87602/m4/346137,,,
000346141,maxilla,target_bone,True,False,False,Maxillae [Mesh] [CT],Maxillae,NotApplicable,Mesh,MicroNanoXRayComputedTomography,Homo neanderthalensis,000346134,ulg:pa:Engis2,,open,,,,Standard,CommercialUseNotPermitted,3DPrintingPermitted,37348625,2021-02-23T15:21:43Z,,https://www.morphosource.org/concern/media/000346141,https://www.morphosource.org/downloads/000346141?file=thumbnail&t=1614093704,,,ark:/87602/m4/346141,,,
000363100,maxilla,target_bone,True,False,False,Maxillae [Mesh] [CT],maxillae,NotApplicable,Mesh,MicroNanoXRayComputedTomography,Homo neanderthalensis,000346134,ulg:pa:Engis2,,open,,http://rightsstatements.org/vocab/InC-EDU/1.0/,,Standard,CommercialUseNotPermitted,3DPrintingPermitted,37344129,2021-05-11T09:27:09Z,,https://www.morphosource.org/concern/media/000363100,https://www.morphosource.org/downloads/000363100?file=thumbnail&t=1620725229,,,ark:/87602/m4/363100,,,
000120673,sacrum,target_bone,True,True,False,Partial Sacrum Element [Mesh] [Etc],partial sacrum element,,Mesh,LaserScan,Homo neanderthalensis,000S32270,ulg:pa:Spy_14187,,open,,,,Standard,CommercialUseNotPermitted,3DPrintingLimited,19658615,2020-06-20T20:03:20Z,,https://www.morphosource.org/concern/media/000120673,https://www.morphosource.org/downloads/000304706?file=thumbnail&t=1604602513,,,ark:/87602/m4/M120673,,,
000120671,scapula,target_bone,True,False,False,Scapula [Mesh] [Etc],scapula,Right,Mesh,LaserScan,Homo neanderthalensis,000S32268,ulg:pa:Spy572a_14816,,open,,,,Standard,CommercialUseNotPermitted,3DPrintingLimited,16057530,2020-06-20T09:19:15Z,,https://www.morphosource.org/concern/media/000120671,https://www.morphosource.org/downloads/000304704?file=thumbnail&t=1604602505,,,ark:/87602/m4/M120671,,,
000120672,scapula,target_bone,True,False,False,Scapula [Mesh] [Etc],scapula,Left,Mesh,LaserScan,Homo neanderthalensis,000S32269,ulg:pa:Spy573a_14816,,open,,,,Standard,CommercialUseNotPermitted,3DPrintingLimited,18877116,2020-06-20T18:47:29Z,,https://www.morphosource.org/concern/media/000120672,https://www.morphosource.org/downloads/000304705?file=thumbnail&t=1604602505,,,ark:/87602/m4/M120672,,,
000812280,,unclassified,False,False,False,Sesselfelsgrotte 01: Fragment Of Frontal Bone,,,Volumetric Image Series,MicroNanoXRayComputedTomography,Homo neanderthalensis,000812277,ICArEHB:Sesselfelsgrotte:B07GeA Calvarium – Frontale,,open,,,,Standard,CommercialUseNotPermitted,3DPrintingLimited,1956838630,2026-02-02T15:09:16Z,,https://www.morphosource.org/concern/media/000812280,https://www.morphosource.org/downloads/000812281?file=thumbnail&t=1779979475,,,ark:/87602/m4/812280,,,
000812315,,unclassified,False,False,False,Sesselfelsgrotte 01: Fragment Of Mandible,,,Volumetric Image Series,MicroNanoXRayComputedTomography,Homo neanderthalensis,000812312,ICArEHB:Sesselfelsgrotte:B07GeB Mandibula,,open,,,,Standard,CommercialUseNotPermitted,3DPrintingLimited,2364606462,2026-02-02T17:12:12Z,,https://www.morphosource.org/concern/media/000812315,https://www.morphosource.org/downloads/000812316?file=thumbnail&t=1779979467,,,ark:/87602/m4/812315,,,
000812443,,unclassified,False,False,False,Sesselfelsgrotte 01: Fragment Of Vertebra,,,Volumetric Image Series,MicroNanoXRayComputedTomography,Homo neanderthalensis,000812440,ICArEHB:Sesselfelsgrotte:B07GeC Vertebra thoracica,,open,,,,Standard,CommercialUseNotPermitted,3DPrintingLimited,974635955,2026-02-03T10:46:18Z,,https://www.morphosource.org/concern/media/000812443,https://www.morphosource.org/downloads/000812444?file=thumbnail&t=1779979416,,,ark:/87602/m4/812443,,,
000812448,,unclassified,False,False,False,Sesselfelsgrotte 01: Fragment Of Rib 1(?),,,Volumetric Image Series,MicroNanoXRayComputedTomography,Homo neanderthalensis,000812445,ICArEHB:Sesselfelsgrotte:B07GeD Costa 1,,open,,,,Standard,CommercialUseNotPermitted,3DPrintingLimited,827759903,2026-02-03T11:31:45Z,,https://www.morphosource.org/concern/media/000812448,https://www.morphosource.org/downloads/000812449?file=thumbnail&t=1779979401,,,ark:/87602/m4/812448,,,
000812475,,unclassified,False,False,False,Sesselfelsgrotte 01: Fragment Of Rib 2 (?),,,Volumetric Image Series,MicroNanoXRayComputedTomography,Homo neanderthalensis,000812472,ICArEHB:Sesselfelsgrotte:B07GeE Costa (2),,open,,,,Standard,CommercialUseNotPermitted,3DPrintingLimited,327034949,2026-02-03T13:46:19Z,,https://www.morphosource.org/concern/media/000812475,https://www.morphosource.org/downloads/000812476?file=thumbnail&t=1779979395,,,ark:/87602/m4/812475,,,
