species,bone,bone_group,specimen,view,source_path,found,img_width,img_height,bbox_x,bbox_y,bbox_width,bbox_height,rbox_width,rbox_height,rbox_angle_deg,area_px,area_ratio,aspect_ratio,extent,solidity,elongation,ellipse_ratio,circularity,convexity,hu1,hu2,hu3,hu4,hu5,hu6,hu7,wp00,wp01,wp02,wp03,wp04,wp05,wp06,wp07,wp08,wp09,wp10,wp11,wp12,wp13,wp14,wp15,wp16,wp17,wp18,wp19,mean_width,std_width,max_width,min_width,curvature_mean,curvature_max
alouatta_palliata,cranium,cranio,nmnhvz_7283884,0,/root/dev/base_datos_osea/renders/alouatta_palliata/cranium/nmnhvz_7283884/alouatta_palliata_cranium_nmnhvz_7283884_view000.png,True,512,512,135,82,241,356,333.3,239.36,-22.71,56177.0,0.214298,1.3925,0.6548,0.9216,0.4745,1.4613,0.6723,0.8979,0.7511,2.3301,4.2697,4.9269,9.5257,6.0945,-10.832,56.08,75.77,109.71,118.39,172.11,185.11,194.1,212.29,236.38,239.15,239.21,234.92,225.7,1.93,221.26,210.85,175.69,156.15,127.92,94.54,164.36,67.69,239.21,1.93,0.015175,0.038891
alouatta_palliata,cranium,cranio,nmnhvz_7283884,1,/root/dev/base_datos_osea/renders/alouatta_palliata/cranium/nmnhvz_7283884/alouatta_palliata_cranium_nmnhvz_7283884_view001.png,True,512,512,152,74,235,349,339.56,230.39,-17.35,54786.0,0.208992,1.4738,0.668,0.9198,0.5633,1.5554,0.6443,0.8867,0.7431,2.2306,4.1044,4.9612,9.4952,6.1419,10.6265,90.74,129.99,144.66,174.79,204.2,214.7,219.53,219.47,224.0,229.97,230.39,224.84,197.52,183.68,178.49,157.79,112.27,106.54,103.44,51.54,169.93,53.28,230.39,51.54,0.0141,0.035507
alouatta_palliata,cranium,cranio,nmnhvz_7283884,2,/root/dev/base_datos_osea/renders/alouatta_palliata/cranium/nmnhvz_7283884/alouatta_palliata_cranium_nmnhvz_7283884_view002.png,True,512,512,132,133,245,285,259.27,251.27,-48.42,47315.0,0.180492,1.0318,0.6776,0.9355,0.1093,1.136,0.7303,0.9036,0.7867,3.4099,4.2788,5.7352,10.7466,7.4532,-11.5908,35.46,63.78,133.12,174.81,182.88,218.16,234.35,247.81,250.54,249.29,241.0,231.7,220.98,216.66,223.63,223.79,208.04,190.42,160.03,111.11,190.88,60.14,250.54,35.46,0.024663,0.066826
alouatta_palliata,cranium,cranio,nmnhvz_7283884,3,/root/dev/base_datos_osea/renders/alouatta_palliata/cranium/nmnhvz_7283884/alouatta_palliata_cranium_nmnhvz_7283884_view003.png,True,512,512,123,69,233,334,333.3,221.62,-74.13,50832.5,0.193911,1.5039,0.6532,0.9119,0.4877,1.5005,0.6098,0.8644,0.7502,2.3133,4.2714,5.0934,9.7759,6.2775,-11.9353,17.71,50.97,111.12,109.75,161.39,181.04,195.02,201.48,198.34,214.59,212.66,213.99,214.82,216.2,213.18,201.92,182.55,132.28,110.58,71.57,160.56,60.36,216.2,17.71,0.016636,0.044319
alouatta_palliata,cranium,cranio,nmnhvz_7283884,4,/root/dev/base_datos_osea/renders/alouatta_palliata/cranium/nmnhvz_7283884/alouatta_palliata_cranium_nmnhvz_7283884_view004.png,True,512,512,166,88,214,350,345.49,212.25,-5.09,49333.0,0.18819,1.6278,0.6587,0.9118,0.6418,1.7094,0.5809,0.8627,0.7223,2.022,3.848,4.8288,9.2907,6.2033,9.3488,24.08,106.74,142.5,154.3,160.52,190.76,191.45,198.53,201.59,202.14,200.36,210.88,208.22,179.71,144.32,122.21,114.53,96.42,83.25,66.36,149.94,52.88,210.88,24.08,0.017236,0.039916
alouatta_palliata,cranium,cranio,nmnhvz_7283884,5,/root/dev/base_datos_osea/renders/alouatta_palliata/cranium/nmnhvz_7283884/alouatta_palliata_cranium_nmnhvz_7283884_view005.png,True,512,512,134,109,211,321,316.83,211.32,-86.71,45376.0,0.173096,1.4993,0.6699,0.9156,0.5701,1.589,0.6003,0.8583,0.7406,2.1653,4.9953,5.7857,11.184,6.9745,-11.9014,24.53,95.13,150.33,158.97,162.79,169.12,197.94,198.25,192.29,193.23,197.36,210.74,210.8,197.36,175.29,145.28,118.92,93.19,72.17,57.37,151.05,54.31,210.8,24.53,0.016954,0.045451
alouatta_palliata,cranium,cranio,nmnhvz_7283884,6,/root/dev/base_datos_osea/renders/alouatta_palliata/cranium/nmnhvz_7283884/alouatta_palliata_cranium_nmnhvz_7283884_view006.png,True,512,512,155,86,232,280,272.84,214.63,-24.15,40722.5,0.155344,1.2712,0.6269,0.8747,0.2851,1.2062,0.5826,0.8427,0.7794,3.272,4.2764,5.5608,-11.0955,7.4039,-10.4925,17.68,25.52,36.97,101.04,131.59,193.04,197.23,203.55,212.96,210.0,198.99,189.64,193.29,210.38,211.61,205.6,194.49,187.03,159.81,72.59,157.65,66.21,212.96,17.68,0.023631,0.059128
alouatta_palliata,cranium,cranio,nmnhvz_7283884,7,/root/dev/base_datos_osea/renders/alouatta_palliata/cranium/nmnhvz_7283884/alouatta_palliata_cranium_nmnhvz_7283884_view007.png,True,512,512,165,158,212,254,263.76,201.97,-43.03,38416.5,0.146547,1.306,0.7134,0.9434,0.4532,1.3986,0.6784,0.8734,0.7672,2.505,3.9729,5.5362,-10.378,-6.8915,10.5307,54.44,95.72,125.3,138.32,165.71,188.56,190.76,194.51,199.63,195.48,196.7,201.97,195.34,173.41,162.44,164.1,150.69,112.49,89.87,55.17,152.53,47.15,201.97,54.44,0.02027,0.050525
alouatta_palliata,cranium,cranio,nmnhvz_7283884,8,/root/dev/base_datos_osea/renders/alouatta_palliata/cranium/nmnhvz_7283884/alouatta_palliata_cranium_nmnhvz_7283884_view008.png,True,512,512,156,74,182,347,346.12,179.82,-2.29,45047.5,0.171843,1.9249,0.7133,0.9236,0.7304,1.981,0.5651,0.8647,0.6911,1.8216,3.6148,4.3067,8.2704,5.2404,9.2016,69.02,74.38,89.97,103.0,127.14,129.58,134.01,165.55,172.46,176.62,172.98,174.66,173.22,169.54,161.91,167.47,156.12,133.65,109.79,55.76,135.84,38.75,176.62,55.76,0.01333,0.038573
alouatta_palliata,cranium,cranio,nmnhvz_7283884,9,/root/dev/base_datos_osea/renders/alouatta_palliata/cranium/nmnhvz_7283884/alouatta_palliata_cranium_nmnhvz_7283884_view009.png,True,512,512,176,72,178,345,345.29,173.81,-88.0,42330.0,0.161476,1.9866,0.6893,0.9045,0.7243,2.0943,0.5309,0.8503,0.6741,1.7465,3.4005,4.0653,7.8075,4.975,-8.4884,35.84,71.68,75.88,100.08,119.17,127.59,131.09,155.56,158.35,160.6,159.22,173.14,173.72,160.8,156.11,156.6,152.33,133.55,113.93,65.07,129.01,39.08,173.72,35.84,0.016107,0.040221
